Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Germany,Schwandorf,55,Moderate,1,Good,39,Good,3,Good,55,Moderate
Germany,Schwarzenbek,33,Good,0,Good,33,Good,1,Good,13,Good
Brazil,Senador Pompeu,32,Good,1,Good,11,Good,1,Good,32,Good
Zambia,Senanga,125,Unhealthy For Sensitive Groups,2,Good,22,Good,2,Good,125,Unhealthy For Sensitive Groups
Brazil,Serrana,59,Moderate,1,Good,11,Good,2,Good,59,Moderate
United Kingdom Of Great Britain And Northern Ireland,Sevenoaks,33,Good,0,Good,33,Good,1,Good,16,Good
France,Seynod,128,Unhealthy For Sensitive Groups,2,Good,26,Good,3,Good,128,Unhealthy For Sensitive Groups
India,Shajapur,185,Unhealthy,1,Good,37,Good,0,Good,185,Unhealthy
Ghana,Shama,31,Good,1,Good,23,Good,0,Good,31,Good
Russian Federation,Abdulino,40,Good,1,Good,40,Good,0,Good,28,Good
Saudi Arabia,Abha,170,Unhealthy,1,Good,74,Moderate,1,Good,170,Unhealthy
Ethiopia,Abomsa,137,Unhealthy For Sensitive Groups,1,Good,31,Good,0,Good,137,Unhealthy For Sensitive Groups
United Arab Emirates,Abu Dhabi,170,Unhealthy,2,Good,170,Unhealthy,4,Good,150,Unhealthy
Mexico,Acajete,182,Unhealthy,5,Good,2,Good,12,Good,182,Unhealthy
Mexico,Acayucan,103,Unhealthy For Sensitive Groups,3,Good,17,Good,4,Good,103,Unhealthy For Sensitive Groups
Nicaragua,Acoyapa,51,Moderate,1,Good,16,Good,0,Good,51,Moderate
United States Of America,Addison,56,Moderate,1,Good,29,Good,6,Good,56,Moderate
India,Aduturai,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
Turkey,Afsin,57,Moderate,0,Good,38,Good,1,Good,57,Moderate
United States Of America,Agoura Hills,51,Moderate,1,Good,23,Good,11,Good,51,Moderate
Colombia,Agua De Dios,87,Moderate,3,Good,6,Good,6,Good,87,Moderate
Colombia,Aguachica,99,Moderate,4,Good,7,Good,3,Good,99,Moderate
Mexico,Ajalpan,78,Moderate,2,Good,15,Good,6,Good,78,Moderate
United States Of America,Alamo,106,Unhealthy For Sensitive Groups,2,Good,14,Good,4,Good,106,Unhealthy For Sensitive Groups
United States Of America,Albemarle,77,Moderate,2,Good,34,Good,6,Good,77,Moderate
Spain,Albolote,32,Good,1,Good,26,Good,2,Good,32,Good
France,Ales,57,Moderate,1,Good,30,Good,2,Good,57,Moderate
Algeria,Algiers,154,Unhealthy,10,Good,33,Good,69,Moderate,154,Unhealthy
India,Arvi,139,Unhealthy For Sensitive Groups,1,Good,40,Good,0,Good,139,Unhealthy For Sensitive Groups
Nigeria,Asaba,89,Moderate,3,Good,18,Good,3,Good,89,Moderate
India,Aska,155,Unhealthy,3,Good,85,Moderate,1,Good,155,Unhealthy
Italy,Assisi,59,Moderate,1,Good,44,Good,1,Good,59,Moderate
India,Babina,169,Unhealthy,2,Good,97,Moderate,0,Good,169,Unhealthy
Venezuela (Bolivarian Republic Of),Bachaquero,50,Good,1,Good,25,Good,1,Good,50,Good
Germany,Bad Lauterberg,53,Moderate,1,Good,38,Good,3,Good,53,Moderate
Germany,Bad Schwartau,44,Good,1,Good,27,Good,4,Good,44,Good
Italy,Badia Polesine,75,Moderate,1,Good,41,Good,2,Good,75,Moderate
Cameroon,Bafoussam,58,Moderate,3,Good,16,Good,1,Good,58,Moderate
India,Bagasara,129,Unhealthy For Sensitive Groups,1,Good,29,Good,0,Good,129,Unhealthy For Sensitive Groups
Brazil,Bage,13,Good,0,Good,13,Good,2,Good,12,Good
India,Bagli,136,Unhealthy For Sensitive Groups,1,Good,42,Good,0,Good,136,Unhealthy For Sensitive Groups
Canada,Amherstburg,83,Moderate,1,Good,42,Good,8,Good,83,Moderate
Switzerland,Amriswil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate
Sweden,Angelholm,39,Good,1,Good,39,Good,1,Good,37,Good
China,Ankang,179,Unhealthy,2,Good,46,Good,1,Good,179,Unhealthy
Pakistan,Arifwala,164,Unhealthy,3,Good,164,Unhealthy,1,Good,154,Unhealthy
Spain,Alora,33,Good,1,Good,32,Good,3,Good,33,Good
United States Of America,Alpine,163,Unhealthy,5,Good,4,Good,25,Good,163,Unhealthy
United States Of America,Apex,60,Moderate,2,Good,37,Good,7,Good,60,Moderate
Brazil,Araucaria,58,Moderate,1,Good,11,Good,3,Good,58,Moderate
United States Of America,Arcata,38,Good,1,Good,22,Good,3,Good,38,Good
Italy,Arese,67,Moderate,1,Good,37,Good,4,Good,67,Moderate
Niger,Arlit,164,Unhealthy,1,Good,20,Good,0,Good,164,Unhealthy
Tajikistan,Asht,125,Unhealthy For Sensitive Groups,1,Good,72,Moderate,0,Good,125,Unhealthy For Sensitive Groups
Angola,Ondjiva,20,Good,0,Good,20,Good,0,Good,12,Good
Nigeria,Opobo,128,Unhealthy For Sensitive Groups,4,Good,23,Good,3,Good,128,Unhealthy For Sensitive Groups
Finland,Orimattila,35,Good,1,Good,35,Good,0,Good,16,Good
Italy,Orzinuovi,66,Moderate,1,Good,38,Good,2,Good,66,Moderate
Poland,Ostrow Mazowiecka,35,Good,1,Good,35,Good,0,Good,16,Good
Japan,Otsuchi,46,Good,2,Good,42,Good,1,Good,46,Good
Peru,Otuzco,36,Good,1,Good,5,Good,2,Good,36,Good
United Kingdom Of Great Britain And Northern Ireland,Paignton,54,Moderate,1,Good,24,Good,6,Good,54,Moderate
Italy,Palagiano,44,Good,1,Good,44,Good,1,Good,22,Good
United States Of America,Palo Alto,54,Moderate,1,Good,26,Good,11,Good,54,Moderate
South Africa,Pampierstad,63,Moderate,3,Good,8,Good,3,Good,63,Moderate
